folioviv,num_refri,num_radio,num_tva,num_tvd,telefono,celular,num_estuf
100146202,1,0,0,2,1,1,1
100146204,0,0,0,0,2,1,0
100146204,0,0,0,0,2,1,0
100146204,0,0,0,0,2,1,0
100146204,0,0,0,0,2,1,0
100146205,1,0,2,1,1,2,1
100146206,1,0,2,0,1,1,0
100159301,1,1,2,3,1,1,1
100159302,1,0,2,1,1,1,1
100159303,1,0,1,1,2,1,1
100159304,1,0,0,1,1,1,1
100159305,1,0,1,1,1,1,1
100177801,1,1,3,2,1,1,1
100177802,1,0,1,0,2,1,1
100177803,1,0,0,2,2,1,1
100177804,1,0,0,2,2,1,1
100177805,1,1,0,1,1,1,1
100177806,1,1,1,0,1,1,1
100179401,1,0,0,1,2,1,1
100179402,1,0,0,2,2,2,1
100179403,1,0,0,2,2,1,1
100179404,1,0,1,0,2,1,1
100260803,1,1,1,3,1,1,1
100260804,1,1,2,0,1,1,1
100260805,1,0,1,1,1,1,1
100260806,1,0,2,1,2,1,1
100277401,1,0,3,0,1,1,1
100277402,1,1,1,0,1,1,1
100277402,1,1,1,0,1,1,1
100277403,1,0,1,2,1,1,1
100277404,1,1,4,0,1,1,1
100277405,1,0,0,2,1,1,1
100277406,1,1,1,1,1,1,1
100282701,1,1,0,1,1,1,1
100282702,1,1,0,3,1,1,1
100282703,1,0,0,3,1,1,1
100282704,1,1,0,1,1,2,1
100282705,1,1,0,1,1,2,1
100282706,1,0,0,4,1,1,1
100284902,1,1,1,0,1,1,1
100284904,1,0,2,0,2,1,1
100284905,1,0,1,0,2,1,1
100284906,1,0,2,0,2,1,1
100298502,1,0,0,2,2,1,1
100298504,1,0,1,1,2,1,1
100298506,1,7,0,5,1,1,1
100318603,0,0,0,0,2,1,0
100318603,1,1,0,2,1,2,1
100318605,1,1,0,1,1,1,1
100321002,0,0,1,1,2,1,1
100321003,1,0,2,0,2,1,1
100321004,1,0,1,3,1,2,1
100321006,1,0,0,2,2,1,1
100322201,1,0,1,1,2,1,1
100322202,1,0,0,3,2,1,1
100322204,1,2,1,1,1,1,1
100322205,1,2,1,2,1,1,1
100322206,1,1,3,1,1,1,1
100326301,1,0,1,0,2,1,1
100326302,1,1,1,0,2,1,1
100326303,1,0,2,0,1,1,1
100326304,1,0,1,1,1,1,1
100326306,1,0,1,1,2,1,1
100328801,1,0,2,1,2,1,1
100328802,1,0,0,2,1,1,1
100328803,1,0,0,1,2,1,0
100328804,1,1,1,1,2,1,1
100328805,1,0,0,1,2,1,1
100328806,1,1,0,1,1,1,0
100344402,1,0,5,1,2,1,1
100344403,1,1,1,0,2,1,1
100344404,1,1,0,1,1,1,1
100344405,1,0,1,1,2,1,1
100360701,0,0,0,1,2,1,0
100360703,1,1,0,1,2,1,1
100360704,1,0,0,1,1,1,1
100360705,2,1,1,3,1,1,1
100360706,1,0,1,0,2,1,1
100363901,1,0,0,2,2,1,1
100363902,1,0,0,1,1,1,1
100363903,1,0,0,2,1,1,1
100363905,1,0,2,2,1,1,1
100363906,1,0,0,1,2,1,1
100377501,1,0,2,0,1,2,1
100179405,1,0,1,1,2,1,1
100179406,1,0,0,1,2,1,1
100189701,1,0,1,2,1,1,1
100189702,1,1,1,1,1,2,1
100189703,1,0,0,1,2,2,1
100189704,1,0,1,0,2,1,1
100190901,1,1,0,2,2,1,1
100190902,1,2,0,2,1,1,1
100190903,1,0,0,7,1,1,1
100190904,1,1,1,1,1,1,1
100190905,1,0,0,1,1,1,1
100192501,1,0,0,2,1,1,1
100192502,1,0,0,1,1,2,1
100192503,1,1,1,0,2,2,1
100192504,1,0,1,1,2,2,1
100192505,1,0,0,1,2,1,1
100192506,1,0,1,1,1,1,1
100194601,1,1,1,2,1,1,1
100194602,1,1,0,3,1,1,1
100194603,1,0,0,1,1,1,0
100194604,2,2,3,1,1,2,1
100194605,1,0,1,0,1,1,1
100194606,1,0,1,1,2,1,1
100198001,1,2,2,2,1,1,1
100198002,1,0,0,3,2,1,0
100198003,1,1,2,0,1,1,1
100198004,1,1,1,1,1,2,1
100198005,1,2,0,1,2,1,1
100198006,1,0,0,1,2,1,1
100208201,1,1,1,2,2,1,1
100208202,1,1,0,3,1,1,1
100208203,1,1,1,0,2,1,1
100208204,1,2,2,0,1,2,1
100208206,1,0,2,1,1,1,1
100252301,1,1,0,1,2,1,1
100252301,0,0,1,0,1,1,0
100252303,1,0,0,0,2,1,1
100252304,1,0,0,2,1,1,1
100252305,1,0,0,2,1,1,1
100252306,1,1,0,1,1,2,1
100260801,1,0,2,3,1,1,1
100260802,1,1,2,0,2,1,1
100003801,1,0,1,2,2,1,1
100003802,1,0,0,1,2,1,1
100003803,1,0,1,1,1,1,1
100003804,1,0,1,2,2,1,1
100003805,1,0,0,2,1,1,1
100010401,1,1,1,2,1,1,1
100010402,1,1,1,1,1,1,1
100010404,1,0,0,3,1,2,1
100010405,1,0,0,2,1,1,1
100010406,1,1,2,0,1,1,1
100027701,1,0,0,4,1,1,1
100027702,1,2,2,0,1,1,1
100027703,1,1,0,1,2,1,1
100027706,1,0,0,2,1,1,1
100031901,1,1,2,0,2,1,1
100031902,1,0,1,0,2,1,0
100031903,1,0,2,0,1,1,1
100031904,1,0,2,0,1,2,1
100031905,1,0,2,1,2,1,1
100031906,1,1,1,0,2,1,1
100041501,1,0,3,4,1,1,1
100041502,1,0,0,1,1,1,1
100041505,1,0,0,4,1,1,1
100041506,1,0,4,0,1,2,1
100062601,1,0,0,1,1,2,1
100062603,0,0,1,0,2,1,1
100062604,1,0,1,1,1,1,1
100062605,1,0,0,2,1,2,1
100062606,1,1,1,0,2,1,1
100068001,1,1,1,0,1,2,1
100068002,1,1,0,1,2,1,1
100068003,1,0,2,0,2,1,1
100068003,1,1,1,1,1,1,1
100068004,1,0,1,1,1,1,1
100068005,1,0,1,0,2,2,1
100068006,1,0,0,1,1,1,1
100074201,1,0,1,1,2,1,1
100074202,1,1,0,1,1,1,1
100074203,1,1,0,1,1,1,1
100074204,1,1,0,1,2,1,1
100074205,1,0,0,1,2,1,1
100074206,1,1,0,1,2,1,1
100076301,1,0,2,2,1,1,1
100076302,1,1,0,1,2,1,1
100076303,1,0,2,0,2,1,1
100076304,1,0,2,1,2,1,1
100076305,1,0,2,0,2,1,1
100076306,1,1,3,1,2,1,1
100079801,1,0,0,2,2,1,1
100079802,1,1,0,1,1,2,1
100079803,1,0,0,1,2,1,1
100079804,1,1,1,0,2,1,1
100079806,1,1,0,1,2,2,1
100101401,1,0,1,1,1,2,1
100101402,1,1,0,1,2,1,1
100101403,1,0,1,0,2,2,1
100101404,1,0,2,1,1,2,1
100101405,1,0,1,3,1,1,1
100103701,1,0,0,1,2,1,1
