folioviv,combustible2,estufa3,electricidad,refri,radio_tv,telefono4
100003801,0,0,0,0,0,0
100003802,0,0,0,0,0,0
100003803,0,0,0,0,0,0
100003804,0,0,0,0,0,0
100003805,0,0,0,0,0,0
100010402,0,0,0,0,0,0
100010404,0,0,0,0,0,0
100010405,0,0,0,0,0,0
100010406,0,0,0,0,0,0
100027701,0,0,0,0,0,0
100027702,0,0,0,0,0,0
100027703,0,0,0,0,0,0
100027706,0,0,0,0,0,0
100031901,0,0,0,0,0,0
100031903,0,0,0,0,0,0
100031905,0,0,0,0,0,0
100031906,0,0,0,0,0,0
100041501,0,0,0,0,0,0
100041502,0,0,0,0,0,0
100041505,0,0,0,0,0,0
100041506,0,0,0,0,0,0
100062601,0,0,0,0,0,0
100062603,0,0,0,1,0,0
100062604,0,0,0,0,0,0
100062605,0,0,0,0,0,0
100062606,0,0,0,0,0,0
100068001,0,0,0,0,0,0
100068002,0,0,0,0,0,0
100068003,0,0,0,0,0,0
100068004,0,0,0,0,0,0
100068005,0,0,0,0,0,1
100068006,0,0,0,0,0,0
100074203,0,0,0,0,0,0
100074204,0,0,0,0,0,0
100074205,0,0,0,0,0,0
100074206,0,0,0,0,0,0
100076301,0,0,0,0,0,0
100076302,0,0,0,0,0,0
100076303,0,0,0,0,0,0
100076304,0,0,0,0,0,0
100076305,0,0,0,0,0,0
100076306,0,0,0,0,0,0
100079801,0,0,0,0,0,0
100079802,0,0,0,0,0,0
100079803,0,0,0,0,0,0
100079804,0,0,0,0,0,0
100079806,0,0,0,0,0,1
100101401,0,0,0,0,0,0
100101402,0,0,0,0,0,0
100101403,0,0,0,0,0,1
100101404,0,0,0,0,0,0
100103701,0,0,0,0,0,0
100103704,0,0,0,0,0,0
100103705,0,0,0,0,0,0
100105902,0,0,0,0,0,0
100105903,0,0,0,0,0,0
100105904,0,0,0,0,0,0
100105905,0,0,0,0,0,0
100105906,0,0,0,0,0,0
100109501,0,0,0,0,0,0
100109503,0,0,0,0,0,0
100109504,0,0,0,0,0,0
100109506,0,0,0,0,0,1
100110601,0,0,0,0,0,0
100110602,0,0,0,0,0,0
100110603,0,0,0,0,0,0
100110604,0,0,0,0,0,0
100110605,0,0,0,0,0,0
100141001,0,0,0,0,0,0
100141002,0,0,0,0,0,0
100141003,0,0,0,0,0,0
100141004,0,0,0,1,0,0
100141006,0,0,0,0,0,0
100146201,0,0,0,0,0,0
100146202,0,0,0,0,0,0
100146204,0,0,0,1,1,0
100146205,0,0,0,0,0,0
100146206,0,0,0,0,0,0
100159301,0,0,0,0,0,0
100159302,0,0,0,0,0,0
100159303,0,0,0,0,0,0
100159304,0,0,0,0,0,0
100159305,0,0,0,0,0,0
100177801,0,0,0,0,0,0
100177802,0,0,0,0,0,0
100177804,0,0,0,0,0,0
100177806,0,0,0,0,0,0
100179402,0,0,0,0,0,1
100179403,0,0,0,0,0,0
100179404,0,0,0,0,0,0
100179405,0,0,0,0,0,0
100179406,0,0,0,0,0,0
100189701,0,0,0,0,0,0
100189702,0,0,0,0,0,0
100189703,0,0,0,0,0,1
100189704,0,0,0,0,0,0
100190901,0,0,0,0,0,0
100190902,0,0,0,0,0,0
100190903,0,0,0,0,0,0
100190904,0,0,0,0,0,0
100190905,0,0,0,0,0,0
100192501,0,0,0,0,0,0
100192502,0,0,0,0,0,0
100192503,0,0,0,0,0,1
100192504,0,0,0,0,0,1
100192505,0,0,0,0,0,0
100192506,0,0,0,0,0,0
100194601,0,0,0,0,0,0
100194603,0,0,0,0,0,0
100194604,0,0,0,0,0,0
100194605,0,0,0,0,0,0
100194606,0,0,0,0,0,0
100198001,0,0,0,0,0,0
100198002,0,0,0,0,0,0
100198003,0,0,0,0,0,0
100198004,0,0,0,0,0,0
100198005,0,0,0,0,0,0
100198006,0,0,0,0,0,0
100208201,0,0,0,0,0,0
