folioviv,combustible,disp_elect,estufa_chi,,,#NAME?
100003801,3,1, ,,,
100003802,3,1, ,,,
100003803,3,1, ,,,
100003804,3,1, ,,,
100003805,3,1, ,,,
100010401,4,1, ,,,
100010402,3,1, ,,,
100010404,3,1, ,,,
100010405,3,1, ,,,
100010406,3,1, ,,,
100027701,3,1, ,,,
100027702,3,1, ,,,
100027703,3,1, ,,,
100027706,3,1, ,,,
100031901,3,1, ,,,
100031902,5,1, ,,,
100031903,3,1, ,,,
100031904,4,1, ,,,
100031905,3,1, ,,,
100031906,3,1, ,,,
100041501,3,1, ,,,
100041502,3,1, ,,,
100041505,3,1, ,,,
100041506,3,1, ,,,
100062601,3,1, ,,,
100062603,3,1, ,,,
100062604,3,1, ,,,
100062605,3,1, ,,,
100062606,3,1, ,,,
100068001,3,1, ,,,
100068002,3,1, ,,,
100068003,3,1, ,,,
100068004,3,1, ,,,
100068005,3,1, ,,,
100068006,3,1, ,,,
100074201,4,1, ,,,
100074202,4,1, ,,,
100074203,3,1, ,,,
100074204,3,1, ,,,
100074205,3,1, ,,,
100074206,3,1, ,,,
100076301,3,1, ,,,
100076302,3,1, ,,,
100076303,3,1, ,,,
100076304,3,1, ,,,
100076305,3,1, ,,,
100076306,3,1, ,,,
100079801,3,1, ,,,
100079802,3,1, ,,,
100079803,3,1, ,,,
100079804,3,1, ,,,
100079806,3,1, ,,,
100101401,3,1, ,,,
100101402,3,1, ,,,
100101403,3,1, ,,,
100101404,3,1, ,,,
100101405,4,1, ,,,
100103701,3,1, ,,,
100103702,6,1, ,,,
100103703,6,5, ,,,
100103704,3,1, ,,,
100103705,3,1, ,,,
100105902,3,1, ,,,
100105903,3,1, ,,,
100105904,3,1, ,,,
100105905,3,1, ,,,
100105906,3,1, ,,,
100109501,3,1, ,,,
100109503,3,1, ,,,
100109504,3,1, ,,,
100109506,3,1, ,,,
100110601,3,1, ,,,
100110602,3,1, ,,,
100110603,3,1, ,,,
100110604,3,1, ,,,
100110605,3,1, ,,,
100110606,4,1, ,,,
100141001,3,1, ,,,
100141002,3,1, ,,,
100141003,3,1, ,,,
100141004,3,1, ,,,
100141006,3,1, ,,,
100146201,3,1, ,,,
100146202,3,1, ,,,
100146204,3,1, ,,,
100146205,3,1, ,,,
100146206,3,1, ,,,
100159301,3,1, ,,,
100159302,3,1, ,,,
100159303,3,1, ,,,
100159304,3,1, ,,,
100159305,3,1, ,,,
100177801,3,1, ,,,
100177802,3,1, ,,,
100177803,4,1, ,,,
100177804,3,1, ,,,
100177805,4,1, ,,,
100177806,3,1, ,,,
100179401,4,1, ,,,
100179402,3,1, ,,,
100179403,3,1, ,,,
100179404,3,1, ,,,
100179405,3,1, ,,,
100179406,3,1, ,,,
100189701,3,1, ,,,
100189702,3,1, ,,,
100189703,3,1, ,,,
100189704,3,1, ,,,
100190901,3,1, ,,,
100190902,3,1, ,,,
100190903,3,1, ,,,
100190904,3,1, ,,,
100190905,3,1, ,,,
100192501,3,1, ,,,
100192502,3,1, ,,,
100192503,3,1, ,,,
100192504,3,1, ,,,
100192505,3,1, ,,,
100192506,3,1, ,,,
100194601,3,1, ,,,
100194602,4,1, ,,,
100194603,3,1, ,,,
100194604,3,1, ,,,
100194605,3,1, ,,,
100194606,3,1, ,,,
100198001,3,1, ,,,
100198002,3,1, ,,,
100198003,3,1, ,,,
100198004,3,1, ,,,
100198005,3,1, ,,,
100198006,3,1, ,,,
100208201,3,1, ,,,
100208202,3,1, ,,,
100208203,4,1, ,,,
100208204,3,1, ,,,
100208206,3,1, ,,,
100252301,3,1, ,,,
100252303,3,1, ,,,
100252304,3,1, ,,,
100252305,3,1, ,,,
100252306,3,1, ,,,
100260801,3,1, ,,,
100260802,3,1, ,,,
100260803,3,1, ,,,
100260804,3,1, ,,,
100260805,3,1, ,,,
100260806,3,1, ,,,
100277401,3,1, ,,,
100277402,3,1, ,,,
100277403,3,1, ,,,
100277404,3,1, ,,,
